Title,Reference Disc,Standout Disc,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X,Release Date,Studio
"Hancock",false,false,true,false,false,false,false,true,false,2/23/16,Sony Pictures Home Entertainment
"Hannibal (2001)",false,false,true,true,false,false,false,false,false,4/30/19,Kino Lorber Studio Classics
"Hansel and Gretel: Witch Hunters",false,false,false,false,false,false,false,false,false,9/14/21,Paramount Pictures Home Entertainment
"Happy Together (1997 – may not have English subtitles)",false,false,true,false,false,false,false,false,false,11/25/21,Koch Media (Germany)
"Hard Target (1993)",false,false,true,false,false,false,false,false,false,TBA 2021,Kino Lorber Studio Classics
"Harry Potter and the Chamber of Secrets",false,false,true,false,false,false,false,false,true,11/7/17,Warner Bros. Home Entertainment
"Harry Potter and the Deathly Hallows – Part 1",false,true,false,false,false,false,false,false,true,3/28/17,Warner Bros. Home Entertainment
"Harry Potter and the Deathly Hallows – Part 2",false,true,false,false,false,false,false,false,true,3/28/17,Warner Bros. Home Entertainment
"Harry Potter and the Goblet of Fire",false,false,false,false,false,false,false,false,true,11/7/17,Warner Bros. Home Entertainment
"Harry Potter and the Half-Blood Prince",false,true,false,false,false,false,false,false,true,3/28/17,Warner Bros. Home Entertainment
"Harry Potter and the Order of the Phoenix",false,true,false,false,false,false,false,false,true,3/28/17,Warner Bros. Home Entertainment
