Title,Studio,Release Date,Reference,Standout,Native 4k,Dolby Vision,HDR10+,Imax Enhanced,60 FPS,Dolby Atmos,DTS:X
D-Day: Normandy 1944,Shout! Factory,5/5/20,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Daddy’s Home,Paramount Pictures Home Entertainment,2/20/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Daddy’s Home 2,Paramount Pictures Home Entertainment,2/20/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Darkest Hour,Universal Studios Home Entertainment,6/12/18,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Darlin': Limited Edition Steelbook,Capelight Pictures (Germany),5/29/20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Daughters of Darkness,Blue Underground,TBA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Dawn of the Dead: Limited Edition,Second Sight (UK),10/26/20,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Dawn of the Planet of the Apes,20th Century Fox Home Entertainment (Walt Disney previously MGM),6/13/17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Daybreakers,Lionsgate,9/10/19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Days of Thunder,Paramount Pictures Home Entertainment,5/19/20,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DC Showcase: Batman: Death in the Family,Warner Bros. Home Entertainment,TBA 2020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DC Universe: Batman Hush,Warner Bros. Home Entertainment,8/13/19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DC Universe: Justice League – Throne of Atlantis,Warner Bros. Home Entertainment,11/13/18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DC Universe: Justice League Dark: Apokolips War,Warner Bros. Home Entertainment,5/19/20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
